city_type,open_formats,id,days_between_start_and_last_update,days_since_last_update,format_count,latitude,category_score,days_since_start,open_license_and_format_count,category_count,portal,dataset_score,open_formats_datasets,datasets,name,created_at,longitude,contact_email,contact_person,category_variance,open_datasets,dataset_rank,formats_rank,last_update_rank,category_rank,category_variance_rank,dataset_score_rank,category_score_rank,dataset_rank_std,formats_rank_std,last_update_rank_std,category_rank_std,category_variance_rank_std,dataset_score_rank_std,category_score_rank_std,overall_rank_data,overall_rank
Freie und Hansestadt,457,hamburg,,34,8,53.5437641,0,,0,6,http://transparenz.hamburg.de,1.2035,0,1000,Hamburg,2015-01-05T17:19:18.126591,10.0099133,,Axel Konjack,93080.16666666666666666666668,1000,1,8,41,36,85,12,36,1.123595505617977528089887640,11.26760563380281690140845070,57.74647887323943661971830986,41.86046511627906976744186047,98.83720930232558139534883721,24.00,100,50.08166842707670253498899716,29
Stadt,0,hamm,,,0,51.6615566,0,,0,1,,0,0,1,Hamm,2015-01-05T17:19:21.427723,7.81666112944453,,,1,0,73,71,71,70,18,50,36,82.02247191011235955056179775,100,100,81.39534883720930232558139535,20.93023255813953488372093023,100,100,85.41154951659263575472150499,80
Stadt,0,hanau,,,0,50.1335542,0,,0,1,,0,0,1,Hanau,2015-01-05T17:19:12.203242,8.9168179,,,1,0,73,71,71,70,18,50,36,82.02247191011235955056179775,100,100,81.39534883720930232558139535,20.93023255813953488372093023,100,100,85.41154951659263575472150499,80
Landeshauptstadt,0,hannover,,,0,52.3744779,0,,0,1,,0,0,1,Hannover,2015-01-05T17:19:22.236762,9.7385532,,,1,0,73,71,71,70,18,50,36,82.02247191011235955056179775,100,100,81.39534883720930232558139535,20.93023255813953488372093023,100,100,85.41154951659263575472150499,80
Stadt,0,hassloch,,,0,49.362976,0,,0,0,,0,0,0,Haßloch,2015-01-05T17:19:44.098485,8.2565755,,,,0,89,71,71,86,86,50,36,100,100,100,100,100,100,100,100.0000000000000041633363424,89
Stadt,0,heilbronn,,,0,49.1422908,0,,0,0,,0,0,0,Heilbronn,2015-01-05T17:19:40.500718,9.2186549,,,,0,89,71,71,86,86,50,36,100,100,100,100,100,100,100,100.0000000000000041633363424,89
Stadt,0,hiddenhausen,,,0,52.1590729,0,,0,0,,0,0,0,Hiddenhausen,2015-01-05T17:19:52.923174,8.6328735,,,,0,89,71,71,86,86,50,36,100,100,100,100,100,100,100,100.0000000000000041633363424,89
Stadt,0,hildesheim,,,0,52.1532179,0,,0,2,,0,0,1,Hildesheim,2015-01-05T17:19:28.841274,9.9523941,,Lothar Meyer-Mertel,0,0,73,71,71,58,1,50,36,82.02247191011235955056179775,100,100,67.44186046511627906976744186,1.162790697674418604651162791,100,100,81.74875881891821722107297749,73
Stadt,0,hoersel,,,0,50.94415305,0,,0,0,,0,0,0,Hörsel,2015-01-05T17:19:47.002107,10.57165746,,Herr Werner Oppermann -Beauftragter der Gemeinde Hörsel,,0,89,71,71,86,86,50,36,100,100,100,100,100,100,100,100.0000000000000041633363424,89
Stadt,0,huegelsheim,,,0,48.7988149,0,,0,0,,0,0,0,Hügelsheim,2015-01-05T17:19:39.504589,8.10981773,,,,0,89,71,71,86,86,50,36,100,100,100,100,100,100,100,100.0000000000000041633363424,89
